Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UFPI,UFP Industries Inc. Common Stock,$72.85,0.71,0.984%,4505825899.00,United States,1993,47143,Basic Industries,Forest Products
UFS,Domtar Corporation (NEW) Common Stock,$55.23,0.03,0.054%,2781320721.00,Canada,,170654,Basic Industries,Paper
UNVR,Univar Solutions Inc. Common Stock,$25.22,-0.08,-0.316%,4310299962.00,United States,2015,147511,Basic Industries,Specialty Chemicals
USAP,Universal Stainless & Alloy Products Inc. Common Stock,$10.19,-0.36,-3.412%,90872973.00,United States,1994,3603,Basic Industries,Steel/Iron Ore
USAU,U.S. Gold Corp. Common Stock,$9.9573,0.0373,0.376%,70603440.00,United States,,4427,Basic Industries,Precious Metals
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$14.73,0.16,1.098%,73528964901.00,Brazil,,28126430,Basic Industries,Steel/Iron Ore
VHI,Valhi Inc. Common Stock,$24.34,0.39,1.628%,688264444.00,United States,,30573,Basic Industries,Multi-Sector Companies
VNTR,Venator Materials PLC Ordinary Shares,$2.99,-0.06,-1.967%,319930000.00,,2017,171037,Basic Industries,Major Chemicals
VRS,Verso Corporation Common Stock,$20.935,-0.305,-1.436%,615230955.00,United States,2016,30213,Basic Industries,Paper
VVV,Valvoline Inc. Common Stock,$32.15,0.07,0.218%,5811455798.00,United States,2016,194370,Basic Industries,Automotive Aftermarket
